name,cuisines,rate,approx_cost(for two people),votes
Redberrys,"Cafe, Italian",4.0,600.0,219
Utsav,"North Indian, Street Food",3.7,200.0,59
Meat And Eat,"Fast Food, Burger",3.1,500.0,10
Snacks Bite,"Fast Food, Momos",3.0,400.0,9
The Spice Saga,"Biryani, North Indian, Chinese, Seafood",3.7,750.0,124
Dakshin Cafe,South Indian,3.7,100.0,19
Mr. Parathewala,North Indian,0.0,300.0,0
Kaulige Millet Corner,"Healthy Food, South Indian",3.3,150.0,4
Ifruit Ice Cream,"Desserts, Ice Cream",3.3,150.0,4
Havmor,"Ice Cream, Desserts",3.8,200.0,21
Grand Food,"South Indian, Bakery, Chinese",3.4,250.0,8
Dining Hut,"North Indian, Chinese, South Indian",3.5,400.0,10
7 Hills Garden Restaurant,"North Indian, Mughlai, Chinese",0.0,400.0,0
Desi Swaad,North Indian,3.5,400.0,10
Yummy Momos,"Momos, Tibetan, Chinese",3.2,200.0,4
Masale Daan,North Indian,3.1,350.0,4
Sri Manjunatha Tandoori Corner,Mughlai,0.0,300.0,0
Grow Fit,"Healthy Food, North Indian, Thai",3.6,500.0,16
Cutcakes,Bakery,0.0,300.0,0
Sandwich Hub,"Fast Food, Sandwich",3.4,300.0,12
Healthy Bakes 'n' Brew,Bakery,0.0,150.0,0
Udupi Sri Krishna Cafe,"North Indian, South Indian",3.9,600.0,14
Starlite Bakery & Fastfood,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",3.7,300.0,0
Veganbreak24x7,"South Indian, Chinese, Continental, Biryani",2.8,199.0,5
Aadhya Hotel,"South Indian, North Indian, Chinese, Biryani",3.3,800.0,5
Dodda Mane Baaduta,"North Indian, South Indian, Chinese, Biryani",3.5,250.0,15
Swadd Kitchen,"North Indian, Fast Food",3.4,500.0,4
Nandini Milk Parlour and Restaurant,"Sandwich, Rolls, South Indian, Ice Cream",0.0,250.0,0
Happy Chopsticks,"Chinese, Fast Food",3.6,300.0,17
Sai Super Sandwich,"Sandwich, Beverages",0.0,200.0,0
Right Pizza,Pizza,0.0,300.0,0
Udupi Upachar,"South Indian, North Indian",3.3,500.0,6
Davanagere Benne Dose Hut,South Indian,3.4,100.0,10
The Sip Shop,"Pizza, Beverages, Ice Cream",0.0,200.0,0
Jalsa,"North Indian, Mughlai, Chinese",4.1,800.0,775
Subz,"North Indian, South Indian",4.2,1000.0,2022
Rajastani Rasoi,North Indian,0.0,100.0,0
Sri Banashankari Upahara,"North Indian, South Indian",0.0,150.0,0
Cafe Shuffle,"Cafe, Italian, Continental",4.2,600.0,150
Mint and Mustard,"North Indian, Chinese",4.0,750.0,232
Chinese Square,Chinese,3.9,200.0,38
Hyderabad Express,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",0.0,300.0,0
Punjabi Raswada,North Indian,3.5,800.0,431
Vinny's,"Pizza, Italian, Continental, Desserts",4.2,800.0,2115
Chetty's Corner,"Fast Food, Burger, Pizza",3.4,200.0,30
Kapoor's Cafe,North Indian,4.2,800.0,150
Donne Biryani & Kabab Corner,"Chinese, Biryani",3.3,200.0,12
Sukh Sagar,"South Indian, North Indian, Chinese, Street Food",3.8,450.0,155
S M V Snacks Corner,Fast Food,3.7,200.0,33
Andhra Ruchulu,"Andhra, Biryani, North Indian, Chinese",4.1,1000.0,666
The Samosa Co,"Fast Food, Mithai",0.0,200.0,0
Steaming Mugs,Cafe,3.9,700.0,240
San Churro Cafe,"Cafe, Mexican, Italian",3.8,800.0,918
Rajathadri Food Fort,"South Indian, North Indian, Chinese, Street Food",4.0,600.0,465
Brew Meister,"North Indian, Continental, Finger Food, American, Asian",4.1,1500.0,970
Rasoi,"North Indian, Chinese",3.3,300.0,128
Mr. Singh Da Dhaba,"North Indian, Chinese",3.6,300.0,241
Kababs N Biryani,South Indian,3.4,200.0,22
Ayodhya Upachar,"South Indian, North Indian, Chinese, Street Food",4.3,200.0,734
Biriyani Mane,"North Indian, Biryani",3.8,400.0,130
Cafe Ajfan,"Cafe, Continental, Beverages",4.2,700.0,261
Brundhavana Food Point,"South Indian, North Indian, Chinese, Street Food, Beverages",4.0,300.0,191
SLV Corner Restaurant,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",4.1,550.0,364
Biryani Royals Garden,"North Indian, Biryani, Mughlai",0.0,500.0,0
Hotel New Karavali,"Mangalorean, South Indian, North Indian",3.8,300.0,133
The Krishna Grand,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9,750.0,888
360 Atoms Restaurant And Cafe,"Cafe, Chinese, Continental, Italian",3.1,400.0,13
Roti Ghar,"North Indian, Chinese, South Indian",3.9,500.0,750
The Coffee Shack,"Cafe, Chinese, Continental, Italian",4.2,500.0,164
Multi Snacky Hub,Fast Food,0.0,200.0,0
Kettle & Kegs,"Tea, Beverages",3.2,200.0,6
Baisakhi,North Indian,3.8,500.0,527
Corner House Ice Cream,"Ice Cream, Desserts",4.3,400.0,345
Poonam Sweets,Mithai,4.4,150.0,356
XO Belgian Waffle,"Desserts, Beverages",3.7,400.0,17
Old Mumbai Ice Cream,Ice Cream,3.9,150.0,38
Cake of the Day,Bakery,3.7,150.0,78
Amma's Pastries,Bakery,3.8,400.0,60
Kanti Sweets,"Mithai, Street Food",4.0,400.0,115
Sugar Rush,"Bakery, Desserts",3.8,300.0,39
Polar Bear,"Ice Cream, Desserts, Beverages, Sandwich",3.9,400.0,116
San Churro Cafe,"Cafe, Mexican, Italian",3.8,800.0,918
Anand Sweets and Savouries,"Mithai, Street Food",3.7,400.0,46
Ibaco,Desserts,3.9,300.0,41
Kirthi's Biryani,"Chinese, Cafe, Italian",3.8,700.0,144
The Lassi and Juice Park,"Juices, Desserts",3.8,150.0,28
Stoned Monkey,"Desserts, Ice Cream",4.3,500.0,860
Parimala Sweets,"Mithai, Street Food",3.5,200.0,14
The Big O Bakes,"Bakery, Desserts",4.0,300.0,66
Shree Mahalakshmi Sweets,"Mithai, Street Food",3.2,100.0,8
Keventers,"Desserts, Beverages, Ice Cream",3.7,400.0,54
Dessert Rose,Desserts,3.5,500.0,7
Thanco's Natural Ice Creams,Ice Cream,3.2,300.0,9
Corner Stone,"Beverages, Juices, Desserts, Italian",3.6,300.0,42
Kaggis,"Fast Food, Bakery",3.8,250.0,64
Cocoa Bakes,"Bakery, Desserts",3.6,350.0,14
Floured-Baked With Love,Bakery,3.8,400.0,45
CAFE NOVA,"Cafe, Bakery",3.2,600.0,11
Cakes & Slices,"Bakery, Desserts",3.5,300.0,13
Arun Ice Cream,"Ice Cream, Desserts",3.4,150.0,7
Just Bake,"Bakery, Desserts",3.4,400.0,8
Dharwad Line Bazaar Mishra Pedha,Mithai,0.0,150.0,0
Cake Bite,Bakery,0.0,300.0,0
Kwality Wall's Swirl's Happiness Station,"Ice Cream, Desserts",2.9,200.0,25
Melting Melodies,Bakery,0.0,300.0,0
Sweet N Swirl,"Desserts, Ice Cream",3.2,150.0,17
Me And My Cake,"Bakery, Desserts",0.0,500.0,0
Mukesh Sweet Centre,Mithai,0.0,300.0,0
Darkolates,Desserts,0.0,200.0,0
Sai Super Sandwich,"Sandwich, Beverages",0.0,200.0,0
Sweet Truth,"Bakery, Desserts",3.9,500.0,35
Waffle-A-Go Go,"Fast Food, Desserts, Ice Cream",3.9,400.0,70
Gopi Ice Creams,Ice Cream,0.0,100.0,0
Sri Venkateshwara Sweet Meat Stall,"Mithai, Street Food, North Indian, Chinese",4.0,400.0,98
Baskin Robbins,"Ice Cream, Desserts",3.7,250.0,25
Redberrys,"Cafe, Italian",4.0,600.0,219
Amande Patisserie,"Bakery, French, Desserts",4.0,300.0,73
Srinivasa Brahmins Bakery,"Bakery, Street Food",3.6,150.0,16
Jain Bakes,"Bakery, Desserts",3.6,250.0,8
Cake Ghar,Bakery,3.8,400.0,15
KC Das - Sweet Spot,"Mithai, Street Food",3.6,200.0,46
Sugar Stars Co,"Bakery, Desserts",0.0,300.0,0
Diabetics Dezire Sugarless Sweets and Bakes,"Desserts, Mithai",3.3,300.0,13
Cake Yard,Desserts,3.3,250.0,9
Iceberg Icecreams,"Desserts, Ice Cream",4.0,250.0,43
A2B Veg - Adyar Ananda Bhavan,"South Indian, North Indian, Chinese, Street Food",2.7,400.0,97
Bombay Kulfis,Ice Cream,0.0,200.0,0
Sri Krishna Sweets,"Mithai, Desserts",3.7,250.0,22
Cake Art,Bakery,3.5,400.0,15
Cakecraft,Desserts,0.0,350.0,0
Asha Sweets Centre,Fast Food,3.6,250.0,27
My Tea House,"Continental, Asian, North Indian, Tea",0.0,500.0,0
The Krishna Grand,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9,750.0,888
Sea Spice by 7 Star,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200.0,349
Mini Punjabi Dhaba,North Indian,4.2,350.0,287
Onesta,"Pizza, Cafe, Italian",4.6,600.0,2556
Wamama,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800.0,354
Jalsa,"North Indian, Mughlai, Chinese",4.1,800.0,775
Vinny's,"Pizza, Italian, Continental, Desserts",4.2,800.0,2115
Jcubez,Finger Food,3.8,1300.0,977
Gustoes Beer House,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,1200.0,868
Penthouse Cafe,"Cafe, Italian, Continental",4.0,700.0,324
Spice Elephant,"Chinese, North Indian, Thai",4.1,800.0,787
Smacznego,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550.0,504
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Cafe,4.1,500.0,402
Cafe Shuffle,"Cafe, Italian, Continental",4.2,600.0,150
The Coffee Shack,"Cafe, Chinese, Continental, Italian",4.2,500.0,164
Peppy Peppers,"Italian, North Indian, Mexican",4.2,800.0,244
Anna Kuteera,"South Indian, North Indian, Chinese",4.0,450.0,771
Szechuan Dragon,"Chinese, Thai, Momos",4.2,600.0,1647
1947,"North Indian, Chinese",4.0,850.0,808
Caf-Eleven,"Cafe, Continental",4.0,450.0,424
Thamboola,"North Indian, Chinese, Continental",3.9,800.0,135
Ferment,Continental,0.0,1000.0,0
Havyaka Mess,South Indian,3.9,300.0,28
San Churro Cafe,"Cafe, Mexican, Italian",3.8,800.0,918
Cafe Vivacity,Cafe,3.8,650.0,90
Chung Wah,"Chinese, Momos, Thai, Vietnamese",3.9,900.0,519
Vietnamese Kitchen,Vietnamese,3.6,700.0,105
Blue Wings Bar & Restaurant,"North Indian, Chinese",3.7,700.0,43
Anand Sweets and Savouries,"Mithai, Street Food",3.7,400.0,46
Catch-up-ino,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800.0,133
Kirthi's Biryani,"Chinese, Cafe, Italian",3.8,700.0,144
T3H Cafe,"Cafe, Italian, American",3.9,300.0,93
Srikrishna Bhavan,"South Indian, North Indian, Chinese",3.8,300.0,42
Dal Tadkaa,North Indian,2.5,500.0,247
360 Atoms Restaurant And Cafe,"Cafe, Chinese, Continental, Italian",3.1,400.0,13
New Imperial Restaurant,"North Indian, Chinese",3.7,450.0,39
The Vintage Cafe,"Cafe, French, North Indian",3.0,400.0,62
Green Gardenia,"North Indian, Chinese",3.8,700.0,160
Parimala Sweets,"Mithai, Street Food",3.5,200.0,14
Vaishali Deluxe,"North Indian, Chinese",3.8,700.0,42
Paradise Premium,"Biryani, Andhra, Hyderabadi, North Indian",3.1,700.0,119
Kadala Tarangaa,"Mangalorean, Seafood, North Indian",3.6,600.0,129
My Tea House,"Continental, Asian, North Indian, Tea",0.0,500.0,0
Vi Ra's Bar and Restaurant,"South Indian, North Indian, Chinese",3.3,800.0,62
Annapooraneshwari Mess,South Indian,0.0,200.0,0
Sri Yaksha Shiv Sagar,"North Indian, Chinese",3.6,600.0,24
7 Hills Restaurant,"North Indian, South Indian",0.0,500.0,0
Nandhini Deluxe,North Indian,2.6,600.0,283
Corner Stone,"Beverages, Juices, Desserts, Italian",3.6,300.0,42
Karavali Fish Center,"Mangalorean, Chinese",3.4,300.0,10
Ayda Persian Kitchen,"North Indian, Iranian",3.7,950.0,39
J Spice,"North Indian, Chinese",3.8,750.0,59
Swadesh Tadka,"North Indian, Chinese, Beverages",3.5,600.0,179
Iyer's Tiffin Centre,"South Indian, Chinese",3.8,150.0,62
Kydz Adda,Continental,3.4,500.0,6
K27 - The Pub,"Chinese, North Indian",3.1,1000.0,30
Kotian Karavali Restaurant,"South Indian, Biryani",3.5,300.0,10
Food Box Cafe,"Mughlai, North Indian, Chinese",3.6,500.0,36
Hide Out Cafe,Cafe,3.7,300.0,31
Linnet Bar & Restaurant,"Fast Food, Finger Food",0.0,500.0,0
CAFE NOVA,"Cafe, Bakery",3.2,600.0,11
Darbar,"North Indian, Chinese",3.0,800.0,98
Sri Ganesh Juice and Chats,"Juices, Street Food",3.5,150.0,18
Manifest Cafe,"South Indian, North Indian, Chinese",3.5,500.0,10
Beijing Bites,"Chinese, Thai",2.7,850.0,128
Karavali Lunch Home,"South Indian, North Indian, Seafood, Mangalorean",0.0,400.0,0
The Pizzeria,"Pizza, Italian, Salad",2.8,800.0,45
Sri Krishna Sagar,"North Indian, Chinese",3.2,400.0,119
Lassi Stop,"Beverages, Fast Food, Juices",3.4,150.0,12
Banashankari Nati Style,"Biryani, Chinese, South Indian, North Indian",0.0,350.0,0
Sea Green Cafe,"Cafe, Fast Food, Beverages",3.3,500.0,4
Cafe Coffee Day,"Cafe, Fast Food",0.0,900.0,0
SLN Bar and Restaurant,"North Indian, Chinese",0.0,700.0,0
Kaumudis Juoice,"Beverages, Fast Food, Juices",0.0,150.0,0
Parijatha Paradise,"South Indian, North Indian, Fast Food, Chinese, Street Food",0.0,500.0,0
As On Fire,"Pizza, Fast Food, BBQ",3.5,400.0,41
Pizza Hut,"Pizza, Fast Food",3.7,750.0,405
New Prashanth Hotel,"Biryani, North Indian, Seafood, Andhra",3.9,650.0,388
Taaza Thindi,South Indian,4.7,100.0,651
Hyderabad Express,"Hyderabadi, Biryani, South Indian, Andhra, Beverages",0.0,300.0,0
Ayodhya Upachar,"South Indian, North Indian, Chinese, Street Food",4.3,200.0,734
Petoo,North Indian,3.7,450.0,21
Roving Feast,"Italian, Continental, Fast Food, Chinese, Momos",4.0,450.0,1047
KFC,"Burger, Fast Food",3.8,450.0,505
Five Star Chicken,"Fast Food, Burger",3.6,200.0,55
Gama Gama,South Indian,3.9,200.0,264
Hotel New Karavali,"Mangalorean, South Indian, North Indian",3.8,300.0,133
Kaapi Corner,South Indian,0.0,100.0,0
McDonald's,"Burger, Fast Food",3.9,500.0,286
Sri Laxmi Venkateshwara Coffee Bar,South Indian,4.4,100.0,343
Bhattara Bhojana,South Indian,3.6,150.0,66
Davanagere Benne Dose Hut,South Indian,3.4,100.0,10
Utsav Restaurant,"North Indian, Chinese",3.8,300.0,61
Messy Bowl,"Fast Food, Beverages",3.8,500.0,70
Devanna Dum Biriyani Centre,"Biryani, South Indian",3.6,300.0,28
Janahaar,South Indian,3.8,100.0,70
Stop 'N' Joy,Fast Food,3.8,150.0,28
Dodda Mane Baaduta,"North Indian, South Indian, Chinese, Biryani",3.5,250.0,15
Chickpet Donne Biryani House,Biryani,3.8,250.0,131
Brahmin Cafe,South Indian,3.8,150.0,19
Chumma Delicious,"South Indian, Fast Food",3.7,200.0,237
Udupi Upachar,"South Indian, North Indian",3.3,500.0,6
Bengaluru Coffee House,"South Indian, North Indian, Chinese, Street Food",4.1,300.0,201
Foodiction,"North Indian, Fast Food, Chinese, Burger",2.8,500.0,506
The Biryani Cafe,"Biryani, Chinese, Kebab",4.1,300.0,520
Spicy Tandoor,North Indian,0.0,150.0,0
Banashankari Donne Biriyani,"Biryani, Fast Food",3.8,300.0,104
Addhuri Udupi Bhojana,"South Indian, North Indian",3.7,300.0,88
Vasanth Vihar - Since 1965,"South Indian, Street Food",3.6,150.0,95
Subway,"Salad, Fast Food",3.7,600.0,136
SGS Non Veg - Gundu Pulav,"Biryani, Fast Food",3.8,400.0,101
Udupi Ruchi Grand,"South Indian, North Indian, Chinese, Street Food",4.2,200.0,60
Hotel Mangala,South Indian,3.9,250.0,88
Simple Thindies,South Indian,3.5,200.0,8
Rolls On Wheels,"Fast Food, Rolls, Momos",3.4,300.0,145
Chilli Flakes,"Fast Food, Italian, Beverages",3.6,500.0,46
Kababs N Biryani,South Indian,3.4,200.0,22
Udupi Ruchi,"South Indian, North Indian, Chinese, Street Food",3.9,200.0,57
SLV Swadishta,South Indian,3.8,300.0,189
Kolbeh,Fast Food,3.7,500.0,22
Kolkata Kathi Roll's,"Fast Food, Rolls",3.6,250.0,18
Mylari Biryani Family Restaurant,"Biryani, Fast Food",3.7,400.0,73
Upahar Sagar,"South Indian, Chinese, North Indian",3.8,350.0,39
Domino's Pizza,"Pizza, Fast Food",3.9,800.0,540
New Sagar Fast Food,"North Indian, South Indian",3.6,250.0,71
Namma Biryani,"Biryani, Chinese, North Indian",3.6,250.0,24
Chill Out,"South Indian, Chinese",0.0,100.0,0
Parama Ruchi,"South Indian, North Indian, Chinese, Street Food",3.5,300.0,11
Thrilok Restaurant,"Mangalorean, Seafood",3.4,350.0,9
Meat And Eat,"Fast Food, Burger",3.5,500.0,12
Ande Ka Funda,"North Indian, Fast Food, Rolls",3.8,250.0,120
Dakshin Grand,"South Indian, North Indian, Chinese, Street Food",3.0,300.0,82
Chicken Hunt,"South Indian, North Indian, Chinese, Biryani",3.5,350.0,88
7 Hills Garden Restaurant,"North Indian, Mughlai, Chinese",0.0,400.0,0
Maruthi Davangere Benne Dosa,South Indian,4.0,150.0,17
Shri Guru Raghavendra Grand Veg,"South Indian, North Indian, Chinese",0.0,400.0,0
Pizza Stop,"Pizza, Italian",3.0,600.0,87
Madhappa Hindu Military Hotel,South Indian,3.4,300.0,14
Krishna Sagar,North Indian,3.5,200.0,31
Hanumanthanagar Biryani Junction,South Indian,3.5,300.0,17
Faasos,"North Indian, Biryani, Fast Food",4.2,500.0,415
Rasoi,"North Indian, Chinese",3.3,300.0,128
SLV Refreshment,South Indian,4.1,100.0,94
Kaggis,"Fast Food, Bakery",3.8,250.0,64
Chatar Patar,"Fast Food, Street Food",3.7,300.0,65
Seven Star,"North Indian, Chinese",3.4,250.0,7
SVKP Daily Fresh,South Indian,3.3,350.0,5
Kidambi's Kitchen,South Indian,3.5,300.0,52
Ruchi's Corner,Fast Food,2.7,200.0,123
Tandoori Knight,"North Indian, Chinese, Biryani, Kebab",3.0,450.0,290
Utsav,"North Indian, Street Food",3.7,200.0,59
Mane Thindi,South Indian,3.7,200.0,130
Fast And Fresh,"North Indian, Chinese, Fast Food",2.8,400.0,91
New Gowda's Fried Chicken,Biryani,3.3,300.0,12
Juicy Momos,"Tibetan, Momos",3.5,250.0,80
Donne Biriyani House,"South Indian, North Indian, Chinese, Biryani",3.9,400.0,441
Srinagar Kabab Corner,North Indian,3.4,250.0,10
Sri Venkateshwara Chat Centre,Street Food,3.5,100.0,12
Vinay Bhel Corner,Street Food,3.4,100.0,7
Spice 9,"Biryani, North Indian, Chinese, Fast Food",3.4,300.0,8
Roti Land,North Indian,0.0,200.0,0
Naveen Kabab & Biriyani Mane,Biryani,3.2,300.0,9
Nandi Chats and Juice,Street Food,3.6,150.0,47
Atithi Point Ande Ka Funda,North Indian,3.1,150.0,29
Yaarub Hotel,Biryani,0.0,250.0,0
Aarush's Food Plaza,"North Indian, Street Food",0.0,200.0,0
Rotti Mane,South Indian,0.0,100.0,0
Karnataka Bhel House,Street Food,0.0,150.0,0
Kannadigas Karavali,"Mangalorean, South Indian, North Indian",0.0,250.0,0
The Coorg Kitchen,South Indian,0.0,400.0,0
Just Shawarma,Arabian,3.8,300.0,66
Aramane Donne Biryani,Biryani,3.1,200.0,28
FOOD ADDA,Fast Food,3.2,200.0,4
New Mangalore Lunch Home,"Mangalorean, South Indian, North Indian",3.3,200.0,7
Hotel Nisarga,"North Indian, South Indian",3.2,250.0,5
Coffee Bytes,"Fast Food, South Indian",3.1,100.0,6
Parjanya Chat Zone,"Street Food, Fast Food",3.3,200.0,17
Yo Roll Corner,"Street Food, Rolls",3.0,200.0,27
New Quality Dum Biryani,Biryani,3.1,200.0,9
Sri Lakshmi Kabab Center,Kebab,3.3,200.0,4
Cueferia A-Cafe,"North Indian, South Indian, Fast Food, Chinese, Italian",0.0,400.0,0
Sri Basaveshwar Jolada Rotti Oota,South Indian,0.0,150.0,0
Dtink Lab,"Beverages, Sandwich",0.0,80.0,0
Shree Udupi South kitchen,South Indian,0.0,150.0,0
Foodlieious Multi Cuisine,North Indian,0.0,100.0,0
Tasty Bites,"Fast Food, Pizza",3.7,150.0,21
Raams Chicken,Andhra,3.6,300.0,22
Panchami,"North Indian, Chinese",3.0,300.0,15
Bangalore Kabab Palace,"Andhra, Biryani",0.0,150.0,0
Hotel Andhra Speices,Andhra,0.0,250.0,0
Quality Dum Biriyani,"Biryani, Kebab",0.0,150.0,0
Sri Murari Family Restaurant,Biryani,0.0,250.0,0
Taja Coffee,South Indian,0.0,150.0,0
Aramane Donne Biriyani,"South Indian, Biryani",0.0,150.0,0
Swaada Healthy Kitchen,"Healthy Food, Juices, Sandwich",0.0,350.0,0
New Prakash Hotel,South Indian,0.0,250.0,0
Gawdaru Mane Beriyani,"South Indian, Biryani",0.0,300.0,0
Kings Court Daba,"Chinese, North Indian",0.0,450.0,0
MM Tiffen Center,"South Indian, Fast Food",0.0,150.0,0
Sri Raghavendra Prasanna Coffee Beans Club,South Indian,0.0,150.0,0
Sri Balaji Tiffin Centre,"South Indian, Chinese",0.0,300.0,0
New Indraprasta,"South Indian, Beverages",0.0,150.0,0
Sree Sagar,South Indian,0.0,200.0,0
VEGeatz,"South Indian, North Indian",3.4,200.0,19
Grand Food,"South Indian, Bakery, Chinese",3.4,250.0,8
Matru Sagar,"South Indian, North Indian, Chinese",3.6,250.0,84
Kavali,"South Indian, Street Food",4.0,300.0,42
Bitez,Fast Food,0.0,100.0,0
Bunt's Biriyani Palace,"North Indian, South Indian, Chinese, Biryani, Seafood",3.0,400.0,213
Funjabi Curries,North Indian,2.9,500.0,11
Udupi Upahar,"South Indian, Chinese, North Indian, Juices",3.8,300.0,58
Ranganna Military Hotel,"South Indian, Biryani",4.2,350.0,725
Roti Ghar,"North Indian, Chinese, South Indian",3.9,500.0,750
Grand Village,"North Indian, Rajasthani",3.8,600.0,166
Vidyarthi Bhavan,South Indian,4.4,150.0,4460
Bharjari Oota,South Indian,3.9,350.0,153
Gokul Veg,"North Indian, Chinese, Beverages",3.8,750.0,469
SLV Corner Restaurant,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",4.1,550.0,364
Timepass Dinner,North Indian,3.8,600.0,286
Baisakhi,North Indian,3.8,500.0,527
Eat Repeat,South Indian,3.9,150.0,101
Sri Guru Kottureshwara Davangere Benne Dosa,South Indian,4.1,150.0,558
Bridgeway,"North Indian, Chinese",3.8,550.0,94
Srinathji's Cafe,"North Indian, Cafe, Chinese, Fast Food",3.8,550.0,148
Soho Bar & Grill,"North Indian, Chinese, Thai",2.7,1100.0,377
Kollapuri's,"South Indian, Mangalorean",3.9,450.0,206
Aadhya Hotel,"South Indian, North Indian, Chinese, Biryani",3.3,800.0,5
Bhavani Restaurant,"South Indian, North Indian, Chinese",3.9,300.0,100
Puliyogare Point,South Indian,4.2,100.0,444
Zephyr,"Italian, Continental",3.9,650.0,133
Redberrys,"Cafe, Italian",4.0,600.0,219
Hotel Dwarka,South Indian,4.2,250.0,253
Nisarga Garden Restaurant,"South Indian, Chinese, Desserts, Beverages",3.4,350.0,51
Ma-Arya Family Restaurant,"Biryani, South Indian, North Indian, Chinese, Andhra",3.7,600.0,61
A2B - Adyar Ananda Bhavan,"South Indian, Fast Food, Street Food",3.8,400.0,155
Ragoo's,"Italian, Pizza, North Indian, Salad",3.9,800.0,233
Imperial Restaurant,"North Indian, Chinese, Biryani, Beverages",3.7,750.0,264
New Prashanth Hotel,South Indian,3.9,400.0,66
Udupi Sri Krishna Bhavan,South Indian,4.1,600.0,238
Chinese Kitchen,Chinese,3.8,150.0,58
Vijayalakshmi,South Indian,3.9,200.0,47
Nammura Donne Biriyani,"Biryani, Fast Food",3.5,400.0,155
Curry Leaves,"Andhra, North Indian, Chinese",4.1,800.0,176
